,created,creator,id,is_archived,is_general,members,name,pins,purpose_creator,purpose_last_set,purpose_value,topic_creator,topic_last_set,topic_value
0,1551796091,UGQV9DXRC,CGNPXKKNC,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHDCWB95X', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",random,,UGQV9DXRC,1551796091,仕事に関係ないペチャクチャ、ワイワイ、ざわざわといったチャンネルは、仕事に関係したチャンネルとは別にしておいたほうがいいです。,UGQV9DXRC,1551796091,仕事に関係ない雑談と給湯室でのおしゃべり
1,1551797034,UGQV9DXRC,CGNQF4DTJ,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UGQV9DXRC', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UUZ15MZT4']",project_m2鈴木,"[{'id': '1576563619.001900', 'type': 'C', 'created': 1580042005, 'user': 'UGQV9DXRC', 'owner': 'UGQV9DXRC'}]",UGQV9DXRC,1551946903,鈴木の研究について,UGQV9DXRC,1551881819,
2,1551796091,UGQV9DXRC,CGPF92V7E,False,True,"['UGPH97FDW', 'UGQ2ENZD0', 'UGQV9DXRC', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UHV3GN694', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",schedule,,UGQV9DXRC,1551796182,ゼミや集合日の日程チェック用,UGQV9DXRC,1551796182,集合の予定日、時刻、場所
3,1551797438,UGQV9DXRC,CGPSV31U5,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHDCWB95X', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UHV3GN694', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR', 'U01157Q4E2J']",meeting,,UGQV9DXRC,1552365446,メンバーへの相談,UGQV9DXRC,1552365446,
4,1551947035,UGQV9DXRC,CGRTJDWA1,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6']",project_m2岡田,,UGQV9DXRC,1551947036,岡田くんの研究について,,0,
5,1551947005,UGQV9DXRC,CGSKZQ63H,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6']",project_m1清水,"[{'id': '1554620615.009500', 'type': 'C', 'created': 1554623154, 'user': 'UGQ2ENZD0', 'owner': 'UGQ2ENZD0'}]",UGQ2ENZD0,1552720599,清水の研究に関するチャンネルです．通知はOnly Direct Messages &amp; Highlight Wordsで大丈夫です．,,0,
6,1551945066,UGQV9DXRC,CGT0P68RL,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UHV3GN694', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",announcements,"[{'id': '1564802193.000200', 'type': 'C', 'created': 1564802220, 'user': 'UHFLB6JPR', 'owner': 'UHFLB6JPR'}]",UGQV9DXRC,1551945067,先生からの所連絡,,0,
7,1554010058,UGQV9DXRC,CH7LZJZ89,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",project_b4根本,,UGQV9DXRC,1554010059,根本の研究関連,,0,
8,1553247092,UGQ2ENZD0,CH88VUU8N,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6']",progress,,UGQ2ENZD0,1553247093,各自の進捗を報告しあう場です．細かな進捗でもどんどん報告していきましょう！,,0,
9,1553843719,UGQ2ENZD0,CHC6KEGM6,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W']",entrance-exam,,UGQ2ENZD0,1553843720,院試対策用のチャンネルです！勉強，しよう！,,0,
10,1553842365,UHEH8KZ7W,CHFLKGE31,False,False,[],project_fukuda,,,0,,,0,
11,1554010170,UGQV9DXRC,CHGBUNZRS,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",project_b4都竹,,UGQV9DXRC,1554010171,都竹の研究関連,,0,
12,1554010519,UGQV9DXRC,CHGBW1WUC,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6']",project_b4野澤,,,0,,,0,
13,1555054529,UGQV9DXRC,CHGQV51TM,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UGSL6PTU7', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UHV3GN694']",project_m1高柳,,UGQV9DXRC,1555054742,高柳さんの研究に関する話合い、メモなどに用いるチャンネルです,,0,
14,1554010593,UGQV9DXRC,CHHRNNY4E,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",project_b4福田,"[{'id': '1554256853.002500', 'type': 'C', 'created': 1554256860, 'user': 'UHEH8KZ7W', 'owner': 'UHEH8KZ7W'}]",,0,,,0,
15,1554861487,UGQV9DXRC,CHJN0BV89,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UGSL6PTU7', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UHV3GN694', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR', 'U010TCMJNHX']",documents,,UGQV9DXRC,1554861488,ゼミやMTGの資料、議事録をアップ,,0,
16,1554192700,UGQV9DXRC,CHKNXRS4F,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",python_study,"[{'id': '1554192729.000900', 'type': 'C', 'created': 1554192741, 'user': 'UGQV9DXRC', 'owner': 'UGQV9DXRC'}, {'id': '1554193147.001500', 'type': 'C', 'created': 1554193151, 'user': 'UGQV9DXRC', 'owner': 'UGQV9DXRC'}, {'id': '1554193287.002200', 'type': 'C', 'created': 1554193290, 'user': 'UGQV9DXRC', 'owner': 'UGQV9DXRC'}, {'id': '1554193306.002500', 'type': 'C', 'created': 1554193309, 'user': 'UGQV9DXRC', 'owner': 'UGQV9DXRC'}, {'id': '1554193424.004200', 'type': 'C', 'created': 1554193455, 'user': 'UGQV9DXRC', 'owner': 'UGPH97FDW'}]",UGQV9DXRC,1554192701,python勉強会の準備用チャンネル,,0,
17,1557813647,UGPH97FDW,CJB682ZV1,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHDCWB95X', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",project_運動教室,,,0,,,0,
18,1558423475,UGQV9DXRC,CJHU8M93L,False,False,"['UGQ2ENZD0', 'UHC5VBV5E']",study_python根本,,UGQV9DXRC,1558423476,根本鈴木がpythonの勉強するのに使う,,0,
19,1558677967,UGQV9DXRC,CJZ0QGKRB,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UUZ15LS10', 'UUZ15MZT4', 'UV0AL2ZNX', 'UVBQW1MAR']",project_こども食堂,"[{'id': '1568106683.009500', 'type': 'C', 'created': 1568173297, 'user': 'UGQV9DXRC', 'owner': 'UGQV9DXRC'}]",,0,,,0,
20,1560244849,UHC5VBV5E,CK8V1S16V,False,False,"['UGPH97FDW', 'UGQ2ENZD0', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6']",機械学習カテゴリー,,UHC5VBV5E,1560245391,「機械学習図鑑」と「機械学習と深層学習」の２冊をまとめ、機械学習の分類を行っていく。,,0,
21,1562635360,UGQV9DXRC,CKWT4TANP,False,False,"['UGPH97FDW', 'UHC5VBV5E', 'UHEH8KZ7W', 'UHFLB6JPR', 'UHFLC6N4X', 'UHG1M1NQ6']",study_statistics,,UGQV9DXRC,1562635364,学生勉強会で実施中の統計の勉強に関するチャンネルです,,0,
